timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packets_per_second,bytes_per_second,syn_count,ack_count,fin_count,rst_count,psh_count,unique_src_ports,unique_dst_ports,inter_arrival_mean,inter_arrival_std,inter_arrival_cv,inter_arrival_min,inter_arrival_max,burst_count,burst_duration_avg,fwd_packet_count,bwd_packet_count,fwd_bwd_packet_ratio,fwd_bwd_bytes_ratio,fwd_avg_packet_size,bwd_avg_packet_size,reply_rate,syn_ack_ratio,completed_sessions,incomplete_ratio,avg_session_duration,payload_size_entropy,src_port_entropy,icmp_type_entropy,pkt_size_std,pkt_size_variance,small_pkt_ratio,large_pkt_ratio,top_dst_port,top_dst_port_ratio,dst_port_std,well_known_port_ratio,ephemeral_port_ratio,sequential_port_score,is_broadcast_dst,flows_per_window,device_total_flows,device_avg_pkt_rate,device_pkt_rate_deviation,device_avg_byte_rate,device_byte_rate_deviation,device_unique_dst_ips,device_unique_dst_ports,device_new_dst_ratio,device_protocol_dist_tcp,device_protocol_dist_udp,device_protocol_dist_icmp,device_avg_payload_size,device_payload_size_deviation,is_registered_iot,is_gateway,device_age_seconds,is_baseline_mature,network_active_flows,network_total_pps,network_total_bps,network_unique_src_ips,network_unique_dst_ips,network_avg_flow_duration,network_entropy_src_ip,network_entropy_dst_port,active_snort_alerts,distinct_alert_types,broadcast_ratio,multicast_ratio,arp_broadcast_ratio,arp_reply_rate,arp_request_rate,arp_reply_request_ratio,arp_gratuitous_count,arp_unsolicited_count,mac_ip_binding_changes,ip_mac_binding_changes,label,attack_type,snort_sid
2026-06-20T21:29:33.092095,10.0.0.4,10.0.0.5,0,0,ARP,0.004,4,168,42.0,42,42,999.6554,41985.5254,0,0,0,0,0,0,0,0.001334,0.001042,0.7815,0.000155,0.002136,1,0.1554,4,2,1.3333,1.9765,42.0,42.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,2,75.1133,1.0454,3274.6385,1.0581,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,499.8277,3998.6215,0.1176,0,0,0,0,0,normal,none
2026-06-20T21:29:33.094070,10.0.0.5,10.0.0.4,0,0,ARP,0.0025,2,84,42.0,42,42,809.9457,34017.721,0,0,0,0,0,0,0,0.002469,0.0,0.0,0.002469,0.002469,0,0.0,2,4,0.4,0.497,42.0,42.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,2,70.1754,0.7977,3036.1233,0.8004,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,1,0,1.66,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,1619.8915,4859.6744,0.3077,0,0,0,0,0,normal,none
2026-06-20T21:29:33.096655,10.0.0.4,10.0.0.5,0,0,ICMP,0.0636,3,294,98.0,98,98,47.1438,4620.091,0,0,0,0,0,0,0,0.031818,0.042263,1.3283,0.001933,0.061702,1,1.9331,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9341,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,3,167.5675,-1.0858,7145.7272,-1.0147,2,1,1.0,0.0,0.0,0.3333,16.422,1.1547,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.098707,10.0.0.5,10.0.0.4,0,0,ICMP,0.0615,2,196,98.0,98,98,32.5439,3189.3002,0,0,0,0,0,0,0,0.061455,0.0,0.0,0.061455,0.061455,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9495,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,3,144.1524,-1.1155,6134.2831,-1.063,2,1,1.0,0.0,0.0,0.3333,16.422,1.1547,1,0,1.67,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.102711,10.0.0.4,10.0.0.6,0,0,ARP,0.0057,4,168,42.0,42,42,702.7989,29517.555,0,0,0,0,0,0,0,0.001897,0.001543,0.8131,0.000206,0.003227,1,0.206,4,2,1.3333,1.9765,42.0,42.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,4,155.5251,0.458,6893.1636,0.4349,2,1,1.0,0.0,0.0,0.5,24.5798,-0.866,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,351.3995,2811.1957,0.1176,0,0,0,0,0,normal,none
2026-06-20T21:29:33.105291,10.0.0.6,10.0.0.4,0,0,ARP,0.0026,2,84,42.0,42,42,771.5081,32403.3419,0,0,0,0,0,0,0,0.002592,0.0,0.0,0.002592,0.002592,0,0.0,2,4,0.4,0.497,42.0,42.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,2,92.0643,0.3689,3929.7212,0.3638,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,1,0,1.65,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,2314.5244,3086.0326,0.6667,0,0,0,0,0,normal,none
2026-06-20T21:29:33.108073,10.0.0.4,10.0.0.6,0,0,ICMP,0.1154,3,294,98.0,98,98,25.988,2546.822,0,0,0,0,0,0,0,0.057719,0.077861,1.349,0.002663,0.112775,1,2.6627,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9341,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,5,210.2525,-1.0829,9155.6027,-1.105,3,1,1.0,0.0,0.0,0.4,26.3218,1.0954,0,0,1.7,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.110862,10.0.0.6,10.0.0.4,0,0,ICMP,0.1125,2,196,98.0,98,98,17.7743,1741.8796,0,0,0,0,0,0,0,0.112522,0.0,0.0,0.112522,0.112522,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9641,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,3,160.0087,-1.1115,6777.0833,-1.0934,2,1,1.0,0.0,0.0,0.3333,16.422,1.1547,1,0,1.65,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.114614,10.0.0.4,10.0.0.1,0,0,ARP,0.0031,4,168,42.0,42,42,1274.6707,53536.1702,0,0,0,0,0,0,0,0.001046,0.000771,0.7375,0.000159,0.001556,1,0.1585,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,6,191.8261,1.8594,8494.7247,1.906,3,1,1.0,0.0,0.0,0.5,33.4896,-0.9129,0,0,1.7,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,637.3354,5098.6829,0.1176,0,0,0,0,0,normal,none
2026-06-20T21:29:33.120227,10.0.0.1,10.0.0.4,0,0,ARP,0.0035,4,168,42.0,42,42,1136.2059,47720.6469,0,0,0,0,0,0,0,0.001173,0.000798,0.6802,0.000252,0.001657,1,0.2522,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,9,2,77.5274,1.2158,3361.1431,1.2318,1,1,1.0,0.0,0.0,0.5,13.58,-0.7071,0,0,1.63,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,4544.8235,1136.2059,3.2,0,0,0,0,0,normal,none
